_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
637b44a629e6b7412e382bb1||45.21|94.66|45.21|66.33|122,0,0,0|words|25|-1|0|32.38|0|0|false|false|english|none|normal|false|false|false||1669022886000
6538bdb90587032233feba5b||45.2|91.94|45.2|60.64|113,0,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1698217401000
632efba3223bd1e9ced4f69b||45.18|93.44|46.38|59.9|113,1,0,0|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false||1664023459000
64056beb5027fd0b055433f7||45.17|96.5|45.17|59.15|136,0,0,0|words|25|-1|0|36.13|0|0|false|false|english|none|normal|false|false|false||1678076907000
6344197ea9e0f04cda7632b6||45.01|96.15|45.01|65.61|50,0,0,0|words|10|-1|0|13.33|0|0|false|false|english|none|normal|false|false|false||1665407358000
635d13b2e04535b68a7bdc1a||44.97|95.38|44.97|62.77|124,0,0,0|words|25|-1|0|33.09|0|0|false|false|english|none|normal|false|false|false||1667044274000
633587c17d21d9a8805de384||44.9|100|44.9|76.89|47,0,0,0|words|10|-1|0|12.56|0|0|false|false|english|none|normal|false|false|false||1664452544000
63ff2c755027fd0b0505066c||44.86|92.96|44.86|62.72|132,0,0,0|words|25|-1|0|35.31|0|0|false|false|english|none|normal|false|false|false||1677667445000
63285ac474372078d6084271||44.79|94.96|44.79|75.23|112,0,0,0|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false||1663589060000
6353ead2c8c818a09597544b||44.77|93.01|44.77|56.24|132,0,0,0|words|25|-1|0|35.38|0|0|false|false|english|none|normal|false|false|false||1666443986000
63ff2ce25027fd0b050ab3e3||44.72|94.52|44.72|59.73|138,0,0,0|words|25|-1|0|37.03|0|0|false|false|english|none|normal|false|false|false||1677667554000
640020445027fd0b059b8c59||44.71|97.67|44.71|61.78|124,0,0,0|words|25|-1|0|33.28|0|0|false|false|english|none|normal|false|false|false||1677729860000
64a92da873193c702e22fda0|true|44.69|100|44.69|59.03|147,0,0,0|words|25|-1|0|39.47|1|0|false|false|english_1k|none|normal|false|false|false||1688808872000
634037e1e65ec910001f7692||44.64|100|44.64|61.16|58,0,0,0|words|10|-1|0|15.59|0|0|false|false|english_1k|none|normal|false|false|false||1665152993000
64a2bb1273193c702ec845d8|true|44.64|92.45|44.64|66.5|146,0,0,0|words|25|-1|0|39.25|0|0|false|false|english_1k|none|normal|false|false|false||1688386322000
63ff2c9f5027fd0b0507dd42||44.64|92.41|44.64|70.61|146,0,0,0|words|25|-1|0|39.25|0|0|false|false|english|none|normal|false|false|false||1677667487000
6405a42a5027fd0b05b12219||44.59|96.92|46.06|68.75|122,0,0,1|words|25|-1|0|32.83|1|0|false|false|english|none|normal|false|false|false||1678091306000
6405707a5027fd0b055fbf4e||44.55|94.44|46.62|68.75|129,0,0,1|words|25|-1|0|34.75|0|0|false|false|english|none|normal|false|false|false||1678078074000
64003ab25027fd0b05c40211||44.46|93.13|44.46|63.75|122,0,0,0|words|25|-1|0|32.93|0|0|false|false|english|none|normal|false|false|false||1677736626000
6538bd9a0587032233feb969||44.4|92|44.4|65.46|111,0,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1698217370000
635d1d12e04535b68a89f549||44.34|93.51|44.34|64.22|141,0,0,0|words|25|-1|0|38.16|0|0|false|false|english|none|normal|false|false|false||1667046674000
640569cf5027fd0b0554256d||44.28|94.08|44.28|57.83|140,0,0,0|words|25|-1|0|37.94|0|0|false|false|english|none|normal|false|false|false||1678076367000
637678899500f305f2789b93||44.25|95.74|44.25|60.09|135,0,0,0|words|25|-1|0|36.61|0|0|false|false|english|none|normal|false|false|false||1668708489000
63736cb831bc82843092d2f9||44.24|95|44.24|71.34|128,0,0,0|words|25|-1|0|34.72|0|0|false|false|english|none|normal|false|false|false||1668508856000
6343e100a9e0f04cda2d5bc1||44.16|98.15|44.16|56.06|52,0,0,0|words|10|-1|0|14.13|0|0|false|false|english|none|normal|false|false|false||1665392896000
64102fb26d3feedce1a9f59b|true|44.03|98|44.03|64.49|147,0,0,0|words|25|-1|0|40.06|0|0|false|false|english_1k|none|normal|false|false|false||1678782386000
63441aaea9e0f04cda763f46||44.03|93.2|44.03|61.43|135,0,0,0|words|25|-1|0|36.79|0|0|false|false|english|none|normal|false|false|false||1665407662000
640c4e3186f61427335e12bb||44.02|97.79|44.02|67.72|133,0,0,0|words|25|-1|0|36.26|0|0|false|false|english|none|normal|false|false|false||1678528049000
641011e06d3feedce17ae9ab||44.02|88.67|44.02|64.9|132,0,0,0|words|25|-1|0|35.98|0|0|false|false|english|none|normal|false|false|false||1678774751000
632efc93223bd1e9ced94d59|true|43.99|93.03|43.99|58.32|263,0,0,0|words|50|-1|0|71.74|0|0|false|false|english|none|normal|false|false|false||1664023699000
64056ad35027fd0b05542c85||43.93|91.72|43.93|59.62|132,0,0,0|words|25|-1|0|36.06|0|0|false|false|english|none|normal|false|false|false||1678076627000
632efee3223bd1e9ced95e33||43.82|93.84|43.82|63.72|135,0,0,0|words|25|-1|1|36.97|0|1.22|false|false|english|none|normal|false|false|false||1664024291000
6340378ee65ec910001d3bdd||43.77|96.67|43.77|69.45|58,0,0,0|words|10|-1|0|15.9|0|0|false|false|english_1k|none|normal|false|false|false||1665152910000
6481613c3fc01f23c8bf3a14||43.74|97.28|43.74|60.36|142,0,0,0|words|25|-1|0|38.96|1|0|false|false|english_1k|none|normal|false|false|false||1686200636000
64d9b41e707edb244866e25a||43.73|96.73|43.73|67.57|147,0,0,0|words|25|-1|0|40.34|0|0|false|false|english_1k|none|normal|false|false|false||1691989022000
6343dfcfa9e0f04cda2d52ac||43.73|91.23|43.73|66.44|52,0,0,0|words|10|-1|0|14.27|0|0|false|false|english|none|normal|false|false|false||1665392591000
640020ea5027fd0b059b914d||43.68|92.36|43.68|65.62|131,0,0,0|words|25|-1|0|35.99|0|0|false|false|english|none|normal|false|false|false||1677730026000
640570555027fd0b055fbe45||43.68|88.89|43.68|59.54|135,0,0,0|words|25|-1|1|37.09|0|20.03|false|false|english|none|normal|false|false|false||1678078037000
640039315027fd0b05c3f7c5||43.65|93.43|43.65|67.64|126,0,0,0|words|25|-1|0|34.64|0|0|false|false|english|none|normal|false|false|false||1677736241000
